layer,filter,image,mean_activation
vgg/conv1_1/conv1_1,0,val_8712.JPEG,12439.0966797
vgg/conv1_1/conv1_1,0,val_5256.JPEG,11875.2929688
vgg/conv1_1/conv1_1,0,val_4187.JPEG,11430.3886719
vgg/conv1_1/conv1_1,0,val_8539.JPEG,11397.8681641
vgg/conv1_1/conv1_1,0,val_9449.JPEG,11134.2871094
vgg/conv1_1/conv1_1,1,val_5115.JPEG,90029.3828125
vgg/conv1_1/conv1_1,1,val_9390.JPEG,84578.875
vgg/conv1_1/conv1_1,1,val_6822.JPEG,83003.625
vgg/conv1_1/conv1_1,1,val_5957.JPEG,81118.59375
vgg/conv1_1/conv1_1,1,val_268.JPEG,78681.15625
vgg/conv1_1/conv1_1,2,val_1040.JPEG,28818.4335938
vgg/conv1_1/conv1_1,2,val_5894.JPEG,28786.4238281
vgg/conv1_1/conv1_1,2,val_2053.JPEG,28531.328125
vgg/conv1_1/conv1_1,2,val_3624.JPEG,28508.0253906
vgg/conv1_1/conv1_1,2,val_6484.JPEG,28159.7128906
vgg/conv1_1/conv1_1,3,val_5256.JPEG,11247.3720703
vgg/conv1_1/conv1_1,3,val_8712.JPEG,9095.69335938
vgg/conv1_1/conv1_1,3,val_2394.JPEG,8856.54003906
vgg/conv1_1/conv1_1,3,val_2224.JPEG,8221.12597656
vgg/conv1_1/conv1_1,3,val_8539.JPEG,8021.83789062
vgg/conv1_1/conv1_1,4,val_7165.JPEG,11303.4941406
vgg/conv1_1/conv1_1,4,val_4553.JPEG,11213.234375
vgg/conv1_1/conv1_1,4,val_9088.JPEG,10985.5488281
vgg/conv1_1/conv1_1,4,val_9121.JPEG,10677.3857422
vgg/conv1_1/conv1_1,4,val_4228.JPEG,10559.0292969
vgg/conv1_1/conv1_1,5,val_5957.JPEG,94252.8359375
vgg/conv1_1/conv1_1,5,val_208.JPEG,90741.125
vgg/conv1_1/conv1_1,5,val_6822.JPEG,84754.0078125
vgg/conv1_1/conv1_1,5,val_1053.JPEG,79006.8828125
vgg/conv1_1/conv1_1,5,val_9782.JPEG,73029.0234375
vgg/conv1_1/conv1_1,6,val_1774.JPEG,5208.78417969
vgg/conv1_1/conv1_1,6,val_5115.JPEG,5160.0546875
vgg/conv1_1/conv1_1,6,val_9390.JPEG,5131.86669922
vgg/conv1_1/conv1_1,6,val_8712.JPEG,5121.84179688
vgg/conv1_1/conv1_1,6,val_9775.JPEG,5011.12841797
vgg/conv1_1/conv1_1,7,val_7165.JPEG,16716.6796875
vgg/conv1_1/conv1_1,7,val_4553.JPEG,15687.1757812
vgg/conv1_1/conv1_1,7,val_9088.JPEG,15416.9267578
vgg/conv1_1/conv1_1,7,val_5538.JPEG,15090.8457031
vgg/conv1_1/conv1_1,7,val_3370.JPEG,14929.4394531
vgg/conv1_1/conv1_1,8,val_5370.JPEG,65233.0976562
vgg/conv1_1/conv1_1,8,val_5832.JPEG,64205.546875
vgg/conv1_1/conv1_1,8,val_1728.JPEG,62575.1757812
vgg/conv1_1/conv1_1,8,val_4278.JPEG,61385.21875
vgg/conv1_1/conv1_1,8,val_2635.JPEG,60300.265625
vgg/conv1_1/conv1_1,9,val_5957.JPEG,55722.2421875
vgg/conv1_1/conv1_1,9,val_6822.JPEG,53770.3203125
vgg/conv1_1/conv1_1,9,val_208.JPEG,51658.78125
vgg/conv1_1/conv1_1,9,val_1053.JPEG,48752.859375
vgg/conv1_1/conv1_1,9,val_5115.JPEG,42473.3984375
vgg/conv1_1/conv1_1,10,val_5256.JPEG,14137.4091797
vgg/conv1_1/conv1_1,10,val_2394.JPEG,11484.8359375
vgg/conv1_1/conv1_1,10,val_8712.JPEG,11369.3300781
vgg/conv1_1/conv1_1,10,val_2224.JPEG,10729.4404297
vgg/conv1_1/conv1_1,10,val_8539.JPEG,9950.83007812
vgg/conv1_1/conv1_1,11,val_1069.JPEG,18871.5644531
vgg/conv1_1/conv1_1,11,val_9181.JPEG,18749.1699219
vgg/conv1_1/conv1_1,11,val_2242.JPEG,18229.3515625
vgg/conv1_1/conv1_1,11,val_3343.JPEG,16739.1035156
vgg/conv1_1/conv1_1,11,val_105.JPEG,16375.5917969
vgg/conv1_1/conv1_1,12,val_1069.JPEG,81865.1484375
vgg/conv1_1/conv1_1,12,val_9181.JPEG,77084.46875
vgg/conv1_1/conv1_1,12,val_1774.JPEG,76071.2265625
vgg/conv1_1/conv1_1,12,val_7286.JPEG,75787.859375
vgg/conv1_1/conv1_1,12,val_2242.JPEG,74520.5
