layer,filter,image,mean_activation
vgg/conv1_1/conv1_1,0,val_8147.JPEG,610.320922852
vgg/conv1_1/conv1_1,0,val_6611.JPEG,810.203735352
vgg/conv1_1/conv1_1,0,val_4260.JPEG,821.557617188
vgg/conv1_1/conv1_1,0,val_1376.JPEG,878.897216797
vgg/conv1_1/conv1_1,0,val_5841.JPEG,934.081481934
vgg/conv1_1/conv1_1,1,val_7025.JPEG,0.0
vgg/conv1_1/conv1_1,1,val_7655.JPEG,0.0
vgg/conv1_1/conv1_1,1,val_1058.JPEG,0.0
vgg/conv1_1/conv1_1,1,val_9573.JPEG,0.0
vgg/conv1_1/conv1_1,1,val_2221.JPEG,0.0
vgg/conv1_1/conv1_1,2,val_2655.JPEG,664.06036377
vgg/conv1_1/conv1_1,2,val_3851.JPEG,762.764892578
vgg/conv1_1/conv1_1,2,val_6383.JPEG,884.261413574
vgg/conv1_1/conv1_1,2,val_7120.JPEG,1005.61212158
vgg/conv1_1/conv1_1,2,val_1436.JPEG,1227.37194824
vgg/conv1_1/conv1_1,3,val_8147.JPEG,239.992721558
vgg/conv1_1/conv1_1,3,val_6611.JPEG,314.814208984
vgg/conv1_1/conv1_1,3,val_5841.JPEG,330.42388916
vgg/conv1_1/conv1_1,3,val_2694.JPEG,341.274993896
vgg/conv1_1/conv1_1,3,val_4465.JPEG,390.326934814
vgg/conv1_1/conv1_1,4,val_5000.JPEG,328.946044922
vgg/conv1_1/conv1_1,4,val_6822.JPEG,331.588378906
vgg/conv1_1/conv1_1,4,val_4260.JPEG,343.574584961
vgg/conv1_1/conv1_1,4,val_1376.JPEG,421.2784729
vgg/conv1_1/conv1_1,4,val_6401.JPEG,428.170410156
vgg/conv1_1/conv1_1,5,val_7148.JPEG,0.0
vgg/conv1_1/conv1_1,5,val_3945.JPEG,0.0
vgg/conv1_1/conv1_1,5,val_2406.JPEG,0.0
vgg/conv1_1/conv1_1,5,val_5621.JPEG,0.0
vgg/conv1_1/conv1_1,5,val_7831.JPEG,0.0
vgg/conv1_1/conv1_1,6,val_2655.JPEG,160.899871826
vgg/conv1_1/conv1_1,6,val_9746.JPEG,179.244125366
vgg/conv1_1/conv1_1,6,val_7829.JPEG,214.299560547
vgg/conv1_1/conv1_1,6,val_3851.JPEG,247.140457153
vgg/conv1_1/conv1_1,6,val_9079.JPEG,249.096343994
vgg/conv1_1/conv1_1,7,val_208.JPEG,15.7838420868
vgg/conv1_1/conv1_1,7,val_6822.JPEG,20.4240283966
vgg/conv1_1/conv1_1,7,val_1376.JPEG,26.0857048035
vgg/conv1_1/conv1_1,7,val_4260.JPEG,39.1587028503
vgg/conv1_1/conv1_1,7,val_4496.JPEG,40.7562294006
vgg/conv1_1/conv1_1,8,val_8918.JPEG,0.0
vgg/conv1_1/conv1_1,8,val_3996.JPEG,0.0
vgg/conv1_1/conv1_1,8,val_9776.JPEG,0.0
vgg/conv1_1/conv1_1,8,val_9390.JPEG,0.0
vgg/conv1_1/conv1_1,8,val_7058.JPEG,0.0
vgg/conv1_1/conv1_1,9,val_3730.JPEG,0.353966385126
vgg/conv1_1/conv1_1,9,val_7338.JPEG,2.51759839058
vgg/conv1_1/conv1_1,9,val_3370.JPEG,3.1759519577
vgg/conv1_1/conv1_1,9,val_8415.JPEG,5.32396602631
vgg/conv1_1/conv1_1,9,val_8566.JPEG,5.62502622604
vgg/conv1_1/conv1_1,10,val_6611.JPEG,373.020477295
vgg/conv1_1/conv1_1,10,val_8147.JPEG,378.972106934
vgg/conv1_1/conv1_1,10,val_4260.JPEG,790.428405762
vgg/conv1_1/conv1_1,10,val_7670.JPEG,828.45513916
vgg/conv1_1/conv1_1,10,val_2228.JPEG,851.947021484
vgg/conv1_1/conv1_1,11,val_9782.JPEG,29.6073265076
